지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
흑산도,2015,2015-03-22,2일,2015-04-09,-3일,2015-04-17,,2015-04-09,2015-04-17 0:00,2015,8
흑산도,2016,2016-03-27,7일,2016-04-11,-1일,2016-04-17,,2016-04-11,2016-04-17 0:00,2016,6
흑산도,2017,2017-03-28,8일,2017-04-11,-1일,2017-04-17,,2017-04-11,2017-04-17 0:00,2017,6
흑산도,2018,2018-04-02,13일,2018-04-11,-1일,2018-04-17,,2018-04-11,2018-04-17 0:00,2018,6
흑산도,2019,2019-03-18,-2일,2019-04-15,3일,2019-04-19,,2019-04-15,2019-04-19 0:00,2019,4
흑산도,2020,2020-03-24,4일,2020-04-16,4일,2020-04-24,,2020-04-16,2020-04-24 0:00,2020,8
흑산도,2021,2021-03-28,8일,2021-04-01,-11일,2021-04-14,,2021-04-01,2021-04-14 0:00,2021,13
흑산도,2022,2022-03-29,9일,2022-04-05,-7일,2022-04-15,,2022-04-05,2022-04-15 0:00,2022,10
흑산도,2023,2023-03-25,5일,2023-04-02,-10일,2023-04-08,,2023-04-02,2023-04-08 0:00,2023,6
흑산도,2024,2024-03-14,-6일,2024-04-07,-5일,2024-04-15,,2024-04-07,2024-04-15 0:00,2024,8
전주,2015,2015-03-07,-17일,2015-04-06,-2일,2015-04-11,1일,2015-04-06,2015-04-11 0:00,2015,5
전주,2016,2016-03-07,-17일,2016-04-06,-2일,2016-04-05,-5일,2016-04-06,2016-04-05 0:00,2016,-1
전주,2017,2017-03-16,-8일,2017-04-04,-4일,2017-04-08,-2일,2017-04-04,2017-04-08 0:00,2017,4
전주,2018,2018-03-14,-10일,2018-04-01,-7일,2018-04-04,-6일,2018-04-01,2018-04-04 0:00,2018,3
전주,2019,2019-03-22,-2일,2019-04-06,-2일,2019-04-11,1일,2019-04-06,2019-04-11 0:00,2019,5
전주,2020,2020-03-15,-9일,2020-03-30,-9일,2020-04-02,-8일,2020-03-30,2020-04-02 0:00,2020,3
전주,2021,2021-03-15,-9일,2021-03-24,-15일,2021-03-29,-12일,2021-03-24,2021-03-29 0:00,2021,5
